Record ID,Incident Year,Incident Month,Incident Day,Operator ID,Operator,Aircraft,Aircraft Type,Aircraft Make,Aircraft Model,Aircraft Mass,Engine Make,Engine Model,Engines,Engine Type,Engine1 Position,Engine2 Position,Engine3 Position,Engine4 Position,Airport ID,Airport,State,FAA Region,Warning Issued,Flight Phase,Visibility,Precipitation,Height,Speed,Distance,Species ID,Species Name,Species Quantity,Flight Impact,Fatalities,Injuries,Aircraft Damage,Radome Strike,Radome Damage,Windshield Strike,Windshield Damage,Nose Strike,Nose Damage,Engine1 Strike,Engine1 Damage,Engine2 Strike,Engine2 Damage,Engine3 Strike,Engine3 Damage,Engine4 Strike,Engine4 Damage,Engine Ingested,Propeller Strike,Propeller Damage,Wing or Rotor Strike,Wing or Rotor Damage,Fuselage Strike,Fuselage Damage,Landing Gear Strike,Landing Gear Damage,Tail Strike,Tail Damage,Lights Strike,Lights Damage,Other Strike,Other Damage
365473,2015,8,22,UNK,UNKNOWN,UNKNOWN,,,,,,,,,,,,,KMFE,MC ALLEN MILLER INTL,TX,ASW,,,,,,,0,S5214,COMMON PAURAQUE,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
365474,2015,8,22,UNK,UNKNOWN,UNKNOWN,,,,,,,,,,,,,KMKE,GENERAL MITCHELL INTL,WI,AGL,,,,,,,0,N5111,KILLDEER,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
365470,2015,8,22,UNK,UNKNOWN,UNKNOWN,,,,,,,,,,,,,KIAH,GEORGE BUSH INTERCONTINENTAL/ HOUSTON ARPT,TX,ASW,,,,,,,0,N5111,KILLDEER,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
364465,2015,8,22,BUS,BUSINESS,C-182 SKYLAN,A,226,11,1,7,31,1,A,7,,,,KSBA,SANTA BARBARA MUNICIPAL,CA,AWP,N,CLIMB,NIGHT,,100,90,,UNKBM,UNKNOWN MEDIUM BIRD,1,NONE,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
364418,2015,8,22,ASQ,EXPRESSJET AIRLINES,CRJ100/200,A,188,10,3,22,4,2,D,5,5,,,KCID,THE EASTERN IOWA ARPT,IA,ACE,,TAKEOFF RUN,DAY,NONE,0,,0,UNKBS,UNKNOWN SMALL BIRD,1,NONE,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
364419,2015,8,22,ASQ,EXPRESSJET AIRLINES,CRJ100/200,A,188,10,3,22,4,2,D,5,5,,,KCID,THE EASTERN IOWA ARPT,IA,ACE,N,LANDING ROLL,NIGHT,NONE,0,90,0,N5111,KILLDEER,1,NONE,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
364420,2015,8,22,ASQ,EXPRESSJET AIRLINES,CRJ700,A,188,16,4,22,4,2,D,5,5,,,KAGS,AUGUSTA REGIONAL ARPT AT BUSH FLD,GA,ASO,Y,APPROACH,DAY,NONE,50,120,0,UNKBS,UNKNOWN SMALL BIRD,10-Feb,NONE,,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
364421,2015,8,22,FDX,FEDEX EXPRESS,MD-11,A,583,39,4,22,7,3,D,1,6,1,,EDDK,COLOGNE-BONN,,FGN,,CLIMB,NIGHT,NONE,10,165,0,UNKBS,UNKNOWN SMALL BIRD,1,NONE,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
364422,2015,8,22,FFT,FRONTIER AIRLINES,A-320,A,04A,3,4,10,1,2,D,1,1,,,KDEN,DENVER INTL AIRPORT,CO,ANM,,APPROACH,NIGHT,NONE,1500,140,,UNKBS,UNKNOWN SMALL BIRD,1,NONE,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
364423,2015,8,22,HAL,HAWAIIAN AIR,B-717-200,A,148,45,4,9,6,2,D,5,5,,,PHTO,HILO INTL ARPT,HI,AWP,N,,DAY,NONE,,,,N5122,PACIFIC GOLDEN-PLOVER,1,NONE,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
364424,2015,8,22,JBU,JETBLUE AIRWAYS,EMB-190,A,332,,4,22,4,2,D,1,1,,,KFLL,FORT LAUDERDALE/HOLLYWOOD INTL,FL,ASO,Y,TAKEOFF RUN,DAY,NONE,0,,0,YI005,BARN SWALLOW,1,NONE,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
365677,2015,8,23,UNK,UNKNOWN,UNKNOWN,,,,,,,,,,,,,KAMA,RICK HUSBAND AMARILLO INTL,TX,ASW,,,,,,,0,K3302,RED-TAILED HAWK,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
365678,2015,8,23,UNK,UNKNOWN,UNKNOWN,,,,,,,,,,,,,KMCC,MC CLELLAN AIRFIELD,CA,AWP,,,,,,,0,O2205,MOURNING DOVE,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
